dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
fineopus-filtered-0.4,eng_Latn-slv_Latn,1120050000,0.400,2798047536,67777448,41.3,,,,,,973914468,496298,1962.4,0.348,0.007
fineopus-filtered-0.4,eng_Latn-spa_Latn,24684300000,0.500,49414026686,968157873,51.0,,,,,,36313492513,15687890,2314.7,0.735,0.016
fineopus-filtered-0.4,eng_Latn-srp_Cyrl,787500000,0.931,845578127,18467270,45.8,,,,,,300704264,139862,2150.0,0.356,0.008
fineopus-filtered-0.4,eng_Latn-srp_Latn,396900000,0.237,1678003033,67800208,24.7,,,,,,674861987,516856,1305.7,0.402,0.008
fineopus-filtered-0.4,eng_Latn-swe_Latn,2862900000,0.407,7027912356,185446516,37.9,,,,,,3639129626,1989990,1828.7,0.518,0.011
fineopus-filtered-0.4,eng_Latn-tur_Latn,2290050000,0.520,4407837305,125955158,35.0,,,,,,5075667449,3031248,1674.4,1.152,0.024
fineopus-filtered-0.4,eng_Latn-ukr_Cyrl,2542800000,0.816,3115328573,59710659,52.2,,,,,,3224060396,1343023,2400.6,1.035,0.022
finepdfs-1.0.0,als_Latn,1396500000,0.593,2353482366,198448,11859.4,2353482366,198448,11859.4,1.000,1.000,2353276308,198441,11858.8,1.000,1.000
finepdfs-1.0.0,bos_Latn,1139250000,0.202,5627374893,675140,8335.1,5627374893,675140,8335.1,1.000,1.000,5627402727,675140,8335.2,1.000,1.000
finepdfs-1.0.0,bul_Cyrl,2659200000,0.335,7943829750,1290422,6156.0,7943829750,1290422,6156.0,1.000,1.000,7934485904,1290254,6149.6,0.999,1.000
finepdfs-1.0.0,cat_Latn,2687100000,0.242,11084337859,1864511,5944.9,11084337859,1864511,5944.9,1.000,1.000,11039289514,1863190,5924.9,0.996,0.999
finepdfs-1.0.0,ces_Latn,3505500000,0.136,25735988104,5651566,4553.8,25688544494,5597841,4589.0,0.998,0.990,25666170776,5597541,4585.3,0.997,0.990
finepdfs-1.0.0,dan_Latn,2551800000,0.218,11723952358,2415047,4854.5,11700755862,2390721,4894.2,0.998,0.990,11692057511,2390660,4890.7,0.997,0.990
finepdfs-1.0.0,deu_Latn,19848000000,0.129,154018911871,36121918,4263.9,153464767824,35792534,4287.6,0.996,0.991,153407532480,35791799,4286.1,0.996,0.991
finepdfs-1.0.0,ekk_Latn,1603950000,0.551,2912687889,552807,5268.9,2912687889,552807,5268.9,1.000,1.000,2909946582,552769,5264.3,0.999,1.000
finepdfs-1.0.0,ell_Grek,2698950000,0.164,16495925964,1962841,8404.1,16495925964,1962841,8404.1,1.000,1.000,16468078910,1962297,8392.2,0.998,1.000
finepdfs-1.0.0,eus_Latn,671700000,0.249,2696420052,339042,7953.1,2696420052,339042,7953.1,1.000,1.000,2651905563,338490,7834.5,0.983,0.998
finepdfs-1.0.0,fin_Latn,2511000000,0.190,13197482048,1980522,6663.6,13182908538,1964238,6711.5,0.999,0.992,13175601086,1964062,6708.3,0.998,0.992
finepdfs-1.0.0,fra_Latn,20750100000,0.124,168589430004,27312270,6172.7,167872485215,27008753,6215.5,0.996,0.989,160059281447,26748544,5983.9,0.949,0.979
finepdfs-1.0.0,gle_Latn,174150000,0.579,300703698,32760,9179.0,300703698,32760,9179.0,1.000,1.000,300139566,32755,9163.2,0.998,1.000
finepdfs-1.0.0,glg_Latn,590250000,0.340,1737198341,290636,5977.2,1737198341,290636,5977.2,1.000,1.000,1555101682,286034,5436.8,0.895,0.984
finepdfs-1.0.0,hrv_Latn,2375100000,0.227,10440955240,1436818,7266.7,10440955240,1436818,7266.7,1.000,1.000,10431658410,1436705,7260.8,0.999,1.000
finepdfs-1.0.0,hun_Latn,2784750000,0.097,28761473161,3145494,9143.7,28729188959,3114919,9223.1,0.999,0.990,28685369590,3114726,9209.6,0.997,0.990
finepdfs-1.0.0,isl_Latn,916200001,0.293,3125767392,362886,8613.6,3125767392,362886,8613.6,1.000,1.000,3118801671,362847,8595.4,0.998,1.000
finepdfs-1.0.0,ita_Latn,7363950000,0.091,81555508409,17589182,4636.7,81326410593,17419872,4668.6,0.997,0.990,81154999296,17417102,4659.5,0.995,0.990
finepdfs-1.0.0,lit_Latn,2338500000,0.438,5341006388,870613,6134.8,5341006388,870613,6134.8,1.000,1.000,5328128046,870463,6121.0,0.998,1.000
